Name,Estimate,SE,tStat,DF,pValue,Lower,Upper,Significant,IsInteraction
betaGenerated:VGF:samplingRate:filterType_6,-5.29148580491012e-06,2.7169882416042e-06,-1.94757619803832,17458343,0.0514014183424374,-1.05185641291374e-05,7.15590823555161e-08,0,1
betaGenerated:VGF:samplingRate:regressionType_4,-1.82736703600618e-05,2.71504264117506e-06,-6.72965695283783,17458343,2.41283437855399e-11,-2.35970357877591e-05,-1.29503049323645e-05,1,1
betaGenerated:VGF:samplingRate:regressionType_5,-1.3199547948218e-05,2.71699694484266e-06,-4.85839283920219,17458343,1.18527682124462e-06,-1.85244941001441e-05,-7.87460578039143e-06,1,1
betaGenerated:VGF:filterType_6:regressionType_4,0.000985618695015754,0.000435310547316765,2.26417940432741,17458343,0.0235631785540483,0.000132397476898547,0.00183883991313296,1,1
betaGenerated:VGF:filterType_6:regressionType_5,0.000212374978012524,0.000436133534521411,0.487002578706038,17458343,0.626267494847637,-0.000642430591067042,0.00106717954709209,0,1
betaGenerated:samplingRate:filterType_6:regressionType_4,1.64649826803041e-05,2.79200447296218e-06,5.89683148148783,17458343,3.73266524133073e-09,1.09942598047451e-05,2.19357055558632e-05,1,1
betaGenerated:samplingRate:filterType_6:regressionType_5,4.80685497424208e-06,2.79589285869547e-06,1.71929034948199,17458343,0.0855291234985956,-7.66975048516753e-07,1.03806604336117e-05,0,1
VGF:samplingRate:filterType_6:regressionType_4,6.83183285047073e-07,2.74625890716516e-06,0.248779498316069,17458343,0.803536060988199,-4.70815126782028e-06,6.07451783791442e-06,0,1
VGF:samplingRate:filterType_6:regressionType_5,-7.46012344060891e-07,2.74841419093484e-06,-0.27145139441026,17458343,0.786014819344734,-6.13365165556024e-06,4.64162696743845e-06,0,1
betaGenerated:noiseMagnitude:samplingRate:filterType_6,4.84813695820217e-05,2.71966753636716e-06,17.826745803617,17458343,5.45793085524624e-71,4.31504175499597e-05,5.38123216140836e-05,1,1
betaGenerated:noiseMagnitude:samplingRate:regressionType_4,3.96069516817174e-05,2.73018521617073e-06,14.5068889249428,17458343,9.39474454494897e-48,3.42582310548671e-05,4.49556723085676e-05,1,1
betaGenerated:noiseMagnitude:samplingRate:regressionType_5,3.86386869461213e-05,2.73212716100636e-06,14.1423011760063,17458343,1.42437413100568e-45,3.32859434892049e-05,4.39914303030376e-05,1,1
VGF:noiseMagnitude:samplingRate:filterType_6,-2.12800834083413e-06,2.67268832726327e-06,-0.795764038779949,17458343,0.426073009866266,-7.36636455296576e-06,3.11034787129749e-06,0,1
VGF:noiseMagnitude:samplingRate:regressionType_4,1.15988047476621e-05,2.68856680741001e-06,4.31402649891408,17458343,1.60316162285247e-05,6.32888867381124e-06,1.68687208215129e-05,1,1
VGF:noiseMagnitude:samplingRate:regressionType_5,9.34127988568454e-06,2.69109756254895e-06,3.47148494462044,17458343,5.17213578451478e-04,4.06879266831977e-06,1.46137671030493e-05,1,1
betaGenerated:noiseMagnitude:filterType_6:regressionType_4,-0.00416289990310985,0.000435310547316765,-9.56295793060065,17458343,1.24499175573803e-21,-0.00501610913765872,-0.00330969066856097,1,1
betaGenerated:noiseMagnitude:filterType_6:regressionType_5,-0.00334413018264843,0.000436133534521411,-7.66984124183892,17458343,1.72070474523688e-14,-0.00419993061390494,-0.00248832975139193,1,1
VGF:noiseMagnitude:filterType_6:regressionType_4,-0.000488400073791434,0.000427797621682478,-1.14155474133434,17458343,0.253564764327261,-0.00132688029010684,0.000350080142523972,0,1
VGF:noiseMagnitude:filterType_6:regressionType_5,7.1408978264817e-05,0.000428632756261768,0.166603099022624,17458343,0.86768030200685,-0.000769701255617866,0.000912519212145,0,1
betaGenerated:noiseMagnitude:regressionType_4:noiseColor,0.00175432756534272,0.000313086477929001,5.60640820461265,17458343,2.07823640186524e-08,0.00114218647060019,0.00236646866008524,1,1
betaGenerated:noiseMagnitude:regressionType_5:noiseColor,0.00149456040217272,0.000313481428979042,4.7680244940754,17458343,1.87267003316905e-06,0.000880139155365768,0.00211098164897967,1,1
VGF:noiseMagnitude:regressionType_4:noiseColor,-8.02449455785553e-05,0.000307959636085501,-0.260566316988093,17458343,0.794444977413455,-0.000683845140629695,0.000523355249472584,0,1
VGF:noiseMagnitude:regressionType_5:noiseColor,2.07272046714284e-05,0.000308394867783127,0.0672166124046449,17458343,0.946404126804476,-0.000583702155803977,0.000625156565146834,0,1
betaGenerated:noiseColor:samplingRate:filterType_6,2.16847049803124e-05,2.72163427003025e-06,7.96768700694891,17458343,1.64128100266875e-15,1.73505455847882e-05,2.60188643758365e-05,1,1
betaGenerated:noiseColor:samplingRate:regressionType_4,-1.70819660625867e-05,2.73312050218018e-06,-6.25060248217866,17458343,4.13126261218068e-10,-2.24347659668093e-05,-1.17291661583641e-05,1,1
betaGenerated:noiseColor:samplingRate:regressionType_5,-2.03918898175726e-05,2.73507234041705e-06,-7.45564754350568,17458343,9.09019636777286e-14,-2.57524476614756e-05,-1.50313319736697e-05,1,1
VGF:noiseColor:samplingRate:filterType_6,1.41600640994375e-06,2.67121175985024e-06,0.530038148095396,17458343,0.596240064764843,-3.89950697283827e-06,6.73152079272576e-06,0,1
VGF:noiseColor:samplingRate:regressionType_4,6.29386765551093e-06,2.68706688044867e-06,2.34264498855026,17458343,0.0191463671649254,1.02727660591163e-06,1.15604587051102e-05,1,1
VGF:noiseColor:samplingRate:regressionType_5,6.58699064618049e-06,2.68955943698804e-06,2.45012892316975,17458343,0.0142748940374524,1.31477313427547e-06,1.18592081580855e-05,1,1
betaGenerated:noiseColor:filterType_6:regressionType_4,0.00063929413481437,0.000435310547316765,1.46853474773501,17458343,0.142024095832283,-0.000213900561882551,0.00149248883151129,0,1
betaGenerated:noiseColor:filterType_6:regressionType_5,-0.000188892494325756,0.000436133534521411,-0.433118064660938,17458343,0.665031618516726,-0.00104369702478532,0.000665912036133804,0,1
VGF:noiseColor:filterType_6:regressionType_4,-6.12474834286428e-05,0.000427797621682478,-0.143176893619497,17458343,0.886176843929046,-0.000899728498044437,0.000777233531187151,0,1
VGF:noiseColor:filterType_6:regressionType_5,-1.51477948316804e-04,0.000428632756261768,-0.353410162015617,17458343,-0.000991576131268553,0.000688620234635146,0.000688620234635146,0,1
noiseMagnitude:noiseColor:samplingRate:filterType_6,1.9614793494286e-06,2.67268832726327e-06,0.733880011765491,17458343,0.462934049637079,-3.28247685093501e-06,7.20543554979221e-06,0,1
noiseMagnitude:noiseColor:samplingRate:regressionType_4,-7.56476609278817e-06,2.68856680741001e-06,-2.81349283131476,17458343,0.00490249929459527,-1.28282289668168e-05,-2.30730527557955e-06,1,1
noiseMagnitude:noiseColor:samplingRate:regressionType_5,-7.58741020395619e-06,2.69109756254895e-06,-2.82003754726453,17458343,0.00480655483534661,-1.28618636019523e-05,-2.31295426596007e-06,1,1
noiseMagnitude:noiseColor:filterType_6:regressionType_4,0.000408561131386507,0.000427797621682478,0.955030979019498,17458343,0.339679264068754,-0.000429917753893936,0.00124703201666695,0,1
noiseMagnitude:noiseColor:filterType_6:regressionType_5,0.000395839200710505,0.000428632756261768,0.923447527665568,17458343,0.355829393547117,-0.000444268640943534,0.00123594704236454,0,1
betaGenerated:VGF:noiseMagnitude:samplingRate,4.53148248481099e-06,2.30239892867578e-06,1.96815009793684,17458343,0.0490444285960217,1.3025688285009e-08,9.04970127875128e-06,1,1
betaGenerated:VGF:noiseMagnitude:filterType_6,-0.000698481684124374,0.000316503571116456,-2.20700076574898,17458343,0.0272990060720001,-0.00131882150710892,-7.81362175826542e-05,1,1
betaGenerated:VGF:noiseMagnitude:regressionType_4,-0.000831046718756286,0.000316503571116456,-2.62565009060988,17458343,0.00865271813756124,-0.00145137966054948,-0.000210713777963091,1,1
betaGenerated:VGF:noiseMagnitude:regressionType_5,-0.000299660283395148,0.000317028553742024,-0.94523989003985,17458343,0.344553765988268,-0.000921023124773889,0.000321702558,0,1
